date,close
2018.01.17,"2,481,000"
2018.01.16,"2,500,000"
2018.01.15,"2,427,000"
2018.01.12,"2,410,000"
2018.01.11,"2,412,000"
2018.01.10,"2,442,000"
2018.01.09,"2,520,000"
2018.01.08,"2,601,000"
2018.01.05,"2,606,000"
2018.01.04,"2,554,000"
2018.01.03,"2,581,000"
2018.01.02,"2,551,000"
2017.12.28,"2,548,000"
2017.12.27,"2,468,000"
2017.12.26,"2,410,000"
2017.12.22,"2,485,000"
2017.12.21,"2,457,000"
2017.12.20,"2,544,000"
2017.12.19,"2,578,000"
2017.12.18,"2,560,000"
2017.12.15,"2,531,000"
2017.12.14,"2,553,000"
2017.12.13,"2,566,000"
2017.12.12,"2,605,000"
2017.12.11,"2,589,000"
2017.12.08,"2,600,000"
2017.12.07,"2,537,000"
2017.12.06,"2,501,000"
2017.12.05,"2,563,000"
2017.12.04,"2,567,000"
2017.12.01,"2,542,000"
2017.11.30,"2,540,000"
2017.11.29,"2,630,000"
2017.11.28,"2,664,000"
2017.11.27,"2,632,000"
2017.11.24,"2,773,000"
2017.11.23,"2,765,000"
2017.11.22,"2,798,000"
2017.11.21,"2,764,000"
2017.11.20,"2,760,000"
2017.11.17,"2,791,000"
2017.11.16,"2,789,000"
2017.11.15,"2,767,000"
2017.11.14,"2,796,000"
2017.11.13,"2,819,000"
2017.11.10,"2,820,000"
2017.11.09,"2,817,000"
2017.11.08,"2,838,000"
2017.11.07,"2,805,000"
2017.11.06,"2,819,000"
2017.11.03,"2,819,000"
2017.11.02,"2,853,000"
2017.11.01,"2,861,000"
2017.10.31,"2,754,000"
2017.10.30,"2,702,000"
2017.10.27,"2,654,000"
2017.10.26,"2,620,000"
2017.10.25,"2,695,000"
2017.10.24,"2,702,000"
2017.10.23,"2,715,000"
2017.10.20,"2,692,000"
2017.10.19,"2,649,000"
2017.10.18,"2,738,000"
2017.10.17,"2,740,000"
2017.10.16,"2,696,000"
2017.10.13,"2,700,000"
2017.10.12,"2,740,000"
2017.10.11,"2,732,000"
2017.10.10,"2,640,000"
2017.09.29,"2,564,000"
2017.09.28,"2,563,000"
2017.09.27,"2,584,000"
2017.09.26,"2,583,000"
2017.09.25,"2,681,000"
2017.09.22,"2,650,000"
2017.09.21,"2,640,000"
2017.09.20,"2,611,000"
2017.09.19,"2,606,000"
2017.09.18,"2,624,000"
2017.09.15,"2,520,000"
2017.09.14,"2,515,000"
2017.09.13,"2,481,000"
2017.09.12,"2,480,000"
2017.09.11,"2,490,000"
2017.09.08,"2,454,000"
2017.09.07,"2,406,000"
2017.09.06,"2,350,000"
2017.09.05,"2,338,000"
2017.09.04,"2,302,000"
2017.09.01,"2,324,000"
2017.08.31,"2,316,000"
2017.08.30,"2,310,000"
2017.08.29,"2,304,000"
2017.08.28,"2,305,000"
2017.08.25,"2,351,000"
2017.08.24,"2,376,000"
2017.08.23,"2,374,000"
2017.08.22,"2,350,000"
2017.08.21,"2,342,000"
2017.08.18,"2,345,000"
2017.08.17,"2,352,000"
2017.08.16,"2,310,000"
